"Tabela 987 - Empresas e outras organizações, pessoal ocupado total e assalariado em 31.12, salários e outras remunerações e salário médio mensal, por seção, divisão e grupo da classificação de atividades (CNAE 2.0) e faixas de pessoal ocupado total"
"Faixas de pessoal ocupado";"Total"
"Unidade da Federação";"Classificação Nacional de Atividades Econômicas (CNAE 2.0)";"Variável X Ano"
;;"Número de empresas e outras organizações (Unidades)";;;;;;;"Pessoal ocupado total (Pessoas)";;;;;;;"Pessoal ocupado assalariado (Pessoas)";;;;;;;"Salários e outras remunerações (Mil Reais)";;;;;;;"Salário médio mensal (Salários mínimos)"
"Amazonas";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";149;146;215;217;177;179;183;705;830;870;716;1037;1075;892;501;621;609;490;805;833;583;3901;5038;5235;4139;6201;8652;7981;1,7;1,6;1,6;1,5;1,3;1,3;1,5
"Amazonas";"B Indústrias extrativas";21;24;30;35;43;45;46;60;119;123;946;1227;500;1272;35;55;80;905;1164;428;1206;449;381;629;22574;41467;7769;51876;2,9;1,8;1,6;4,2;5,6;2,8;5,7
"Amazonas";"C Indústrias de transformação";2043;2127;2187;2262;2383;2329;2366;118735;121900;127650;125807;134291;150824;144110;116107;119011;124628;122731;131182;147622;140803;2417485;2386590;2832623;2961281;3239843;4252636;4356531;4,7;4,2;4,3;4,2;3,9;4,2;3,7
"Amazonas";"D Eletricidade e gás";13;15;14;12;19;15;15;2109;2394;3646;2543;2581;2610;2553;2083;2376;3622;2532;2560;2591;2526;85173;104262;119694;149084;171005;199188;211189;9,8;9,2;6,4;9,8;10,2;10,9;10,3
"Amazonas";"E Água, esgoto, atividades de gestão de resíduos e descontaminação";63;68;86;82;103;88;91;2973;3143;3186;3176;3584;3204;3017;2906;3068;3085;3084;3473;3104;2897;29223;38109;44739;43824;52189;56836;63625;2,3;2,6;2,7;2,5;2,3;2,5;2,6
"Amazonas";"F Construção";906;959;1104;1286;1540;1719;1797;16148;20642;24216;25253;26335;29789;30505;14829;19252;22605;23467;24206;27346;27975;154621;245369;343779;321962;348595;404282;488059;2,5;2,8;2,9;2,5;2,2;2,2;2,0
"Amazonas";"G Comércio, reparação de veículos automotores e motocicletas";12644;13020;14118;14862;16059;15807;16322;74174;82086;88893;92555;100776;107786;108855;59915;66054;71708;74547;81442;88127;88708;502695;636281;723455;828334;988200;1192038;1341715;1,9;2,0;1,9;1,9;1,9;2,0;1,8
"Amazonas";"H Transporte, armazenagem e correio";856;924;1016;1131;1358;1360;1324;23291;23239;21388;21505;26724;28794;33334;22099;21842;19889;19871;24750;26759;31285;253964;251505;281398;300379;438341;538977;595585;2,6;2,5;2,7;2,5;2,5;2,7;2,4
"Amazonas";"I Alojamento e alimentação";1217;1323;1335;1424;1576;1630;1667;11975;14051;14965;16500;16505;18403;20369;10541;12411;13331;14790;14588;16363;18252;68230;89874;105791;119454;144944;161943;217974;1,5;1,5;1,5;1,4;1,4;1,5;1,5
"Roraima";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";94;73;88;83;83;78;79;565;635;538;425;280;427;476;384;485;396;277;156;315;358;1796;5435;4324;3921;4380;5355;5590;1,0;2,4;3,1;2,5;2,5;2,4;2,2
"Roraima";"B Indústrias extrativas";7;8;13;12;11;12;10;37;58;63;105;90;153;73;29;46;49;85;69;139;52;196;347;431;695;773;2369;563;1,5;1,7;1,7;1,6;1,7;2,6;0,8
"Roraima";"C Indústrias de transformação";291;298;348;316;382;350;338;1558;1757;2146;2341;2582;3010;2506;1224;1388;1703;1954;2116;2557;2070;7401;9112;11889;16576;18690;22646;24095;1,4;1,4;1,4;1,6;1,4;1,5;1,4
"Roraima";"D Eletricidade e gás";1;2;2;2;2;3;4;X;X;X;X;X;957;949;X;X;X;X;X;957;948;X;X;X;X;X;54116;59119;X;X;X;X;X;8,0;7,7
"Roraima";"E Água, esgoto, atividades de gestão de resíduos e descontaminação";8;14;14;11;15;10;12;546;620;645;600;664;474;627;540;594;621;592;626;465;614;11282;13377;14837;14678;16070;14197;20291;5,0;4,9;4,5;4,3;4,0;4,4;4,0
"Roraima";"F Construção";313;291;307;279;324;311;308;2352;2755;3377;4869;4018;4012;4127;1842;2313;2900;4415;3502;3534;3631;14208;15944;20524;26912;38179;36863;47694;1,8;1,4;1,4;1,9;1,7;1,9;1,8
"Roraima";"G Comércio, reparação de veículos automotores e motocicletas";2973;2954;3445;3349;3433;3351;3358;10265;11439;12914;13938;16265;17536;18606;6998;7843;8874;9988;12207;13374;14415;46453;56716;69081;84480;149767;153634;165118;1,5;1,5;1,5;1,5;2,0;1,7;1,5
"Roraima";"H Transporte, armazenagem e correio";72;94;118;104;130;146;150;553;915;899;861;892;829;929;404;773;691;701;701;603;687;5011;7042;8153;6729;9732;9153;9782;2,8;2,0;2,0;1,8;2,1;2,2;1,8
"Roraima";"I Alojamento e alimentação";374;374;474;412;462;461;450;1316;1489;1827;1948;2187;2508;2981;904;1078;1298;1475;1684;1979;2463;4921;6666;8834;10901;13071;17053;23302;1,3;1,3;1,3;1,3;1,3;1,3;1,2
"Pará";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";920;965;1053;977;998;1021;961;11889;10763;15356;14545;16528;17458;20638;10663;9328;13806;13017;15039;15908;19108;81302;79826;145856;140705;176435;206869;271159;1,6;1,8;1,9;1,8;1,8;1,9;1,8
"Pará";"B Indústrias extrativas";100;95;112;124;161;165;193;2714;3145;3313;2538;4069;4439;4738;2579;2994;3176;2345;3854;4190;4431;65603;91155;102938;86860;109380;186361;238688;5,9;6,5;6,2;6,2;5,8;6,5;6,5
"Pará";"C Indústrias de transformação";4268;4380;4470;4546;4817;4785;4927;94441;98995;86557;86424;93799;95381;90961;88274;92411;79851;79645;86983;88370;83613;831396;974737;987785;1026938;1216006;1418172;1592300;2,1;2,2;2,3;2,3;2,2;2,3;2,2
"Pará";"D Eletricidade e gás";7;11;16;14;13;13;14;2197;2687;2263;2747;2828;2840;2232;2185;2665;2227;2717;2797;2805;2186;62600;79156;71287;86076;95484;108323;90880;6,3;6,2;6,0;5,3;5,2;5,6;5,0
"Pará";"E Água, esgoto, atividades de gestão de resíduos e descontaminação";79;83;95;106;109;126;144;3527;3427;4224;4802;5256;5282;5098;3406;3303;4088;4667;5100;5102;4878;51198;52707;70257;85150;105526;116872;129781;3,4;3,3;3,2;2,8;3,2;3,3;3,0
